tick,frame,action,normalized_steer,p_left,p_straight,p_right,latency_ms,start_lateness_ms,deadline_missed,skipped_slots
0,000000.jpg,1,-0.0156985216939583,0.31207001209259033,0.3958752751350403,0.292054682970047,1.4582928270101547,0.001039355993270874,0,0
1,000004.jpg,1,-0.005846807515495073,0.2947450578212738,0.407082200050354,0.2981727421283722,2.246374264359474,3.1599998474121094,0,0
2,000008.jpg,1,0.004497116699285347,0.28159239888191223,0.40862929821014404,0.30977827310562134,2.022499218583107,0.12033432722091675,0,0
3,000012.jpg,1,-0.0032668054025495052,0.2735591232776642,0.4437903165817261,0.28265053033828735,2.416001632809639,3.159375861287117,0,0
4,000016.jpg,1,-0.006699649055074988,0.2807663083076477,0.43751126527786255,0.28172239661216736,2.8037503361701965,3.4694168716669083,0,0
5,000020.jpg,1,-0.012854623645545044,0.3057897984981537,0.40170493721961975,0.2925052344799042,2.9317904263734818,3.054751083254814,0,0
6,000024.jpg,1,-0.006933158592341837,0.31304702162742615,0.3725951313972473,0.3143579065799713,2.4685412645339966,0.03395974636077881,0,0
7,000028.jpg,1,-0.006920231958255668,0.29391029477119446,0.4113837778568268,0.29470589756965637,2.268334850668907,5.012791603803635,0,0
8,000033.jpg,1,-0.0014052179624916977,0.2846539318561554,0.4167603850364685,0.2985856235027313,2.5153346359729767,3.4276656806468964,0,0
9,000037.jpg,1,0.0033353667607225607,0.2768948972225189,0.42098134756088257,0.3021237254142761,2.535376697778702,4.679333418607712,0,0
10,000041.jpg,1,-0.01736693550458636,0.2786380648612976,0.46774822473526,0.2536137104034424,3.4358762204647064,4.782708361744881,0,0
11,000045.jpg,1,-0.015567501410269025,0.29247283935546875,0.43531110882759094,0.2722160220146179,2.645624801516533,4.005834460258484,0,0
12,000049.jpg,1,-0.0106038227708172,0.2678614556789398,0.47317612171173096,0.2589624226093292,2.9389187693595886,3.2313335686922073,0,0
13,000053.jpg,1,-0.014069006616694607,0.297379732131958,0.4217160642147064,0.2809041738510132,2.891000360250473,5.007417872548103,0,0
14,000057.jpg,1,-0.018606146512732735,0.3148353099822998,0.39733079075813293,0.28783395886421204,3.2222922891378403,3.9353352040052414,0,0
15,000061.jpg,1,-0.03422260080442524,0.34128159284591675,0.3816278576850891,0.27709048986434937,2.8997082263231277,5.018878728151321,0,0
16,000066.jpg,1,-0.035553071518604984,0.32990124821662903,0.40794652700424194,0.26215222477912903,2.816583961248398,5.017001181840897,0,0
17,000070.jpg,1,-0.023264387331677516,0.3183154761791229,0.40158966183662415,0.28009483218193054,2.8403326869010925,0.8944198489189148,0,0
18,000074.jpg,1,-0.031020202904413374,0.3162682354450226,0.42458799481391907,0.2591438293457031,2.9615405946969986,2.7540866285562515,0,0
19,000078.jpg,1,-0.0254870645617018,0.3161810636520386,0.41132017970085144,0.2724987268447876,3.355249762535095,3.943920135498047,0,0
20,000082.jpg,1,-0.03457309662369776,0.32076919078826904,0.42409029603004456,0.2551404535770416,3.291083499789238,5.0124600529670715,0,0
21,000086.jpg,1,-0.02189781214418715,0.31888318061828613,0.3971175253391266,0.2839992940425873,3.0118338763713837,3.582252189517021,0,0
22,000090.jpg,1,-0.030275564308624825,0.3299892842769623,0.3949444890022278,0.27506619691848755,2.8087925165891647,0.6385017186403275,0,0
23,000094.jpg,1,-0.03475510218637862,0.3464325964450836,0.3724725544452667,0.2810947597026825,2.946542575955391,4.185086116194725,0,0
24,000099.jpg,1,-0.015029636623328069,0.297168493270874,0.42447876930236816,0.2783527374267578,2.7316678315401077,2.6166271418333054,0,0
25,004000.jpg,1,0.02701106958367938,0.26856112480163574,0.38035914301872253,0.35107970237731934,2.9662512242794037,3.3151693642139435,0,0
26,004004.jpg,2,0.018598231529902032,0.3056763708591461,0.32551008462905884,0.36881351470947266,2.672335132956505,5.012752488255501,0,0
27,004008.jpg,1,0.00878619026256422,0.28606653213500977,0.3891315162181854,0.3248019218444824,2.8884150087833405,3.9257537573575974,0,0
28,004012.jpg,1,0.029579632502697156,0.2628405690193176,0.38572248816490173,0.35143688321113586,2.791125327348709,5.017753690481186,0,0
29,004016.jpg,1,0.020271145998227658,0.262454628944397,0.40912342071533203,0.3284219205379486,2.6109591126441956,2.342669293284416,0,0
30,004020.jpg,1,0.014215790126402117,0.27350932359695435,0.4014117419719696,0.32507896423339844,2.7662087231874466,5.013253539800644,0,0
31,004024.jpg,1,0.015950309485094294,0.27385276556015015,0.3965003788471222,0.3296467959880829,2.9239580035209656,3.100421279668808,0,0
32,004028.jpg,1,-0.00033696435951394155,0.29297542572021484,0.3972841203212738,0.30974051356315613,3.0691660940647125,1.2066289782524109,0,0
33,004033.jpg,1,-0.013514036625920267,0.30477041006088257,0.4053751826286316,0.2898544669151306,2.8798338025808334,5.0138793885707855,0,0
